name,startTime,endTime,duration,location,travelTime,status,category,description
Dinner Out,2026-05-28T19:00:00,2026-05-28T21:00:00,120,Restaurant,20,FIXED_EVENT,Personal,Dinner with friends
Webinar,2026-05-29T13:00:00,2026-05-29T14:00:00,60,Online,0,FIXED_EVENT,Work,Industry webinar
Library Study,2026-05-29T16:00:00,2026-05-29T18:00:00,120,Library,10,FIXED_EVENT,School,Study session
Jogging,2026-05-30T07:00:00,2026-05-30T07:45:00,45,Park,5,FIXED_EVENT,Health,Morning run
Birthday Party,2026-05-30T18:00:00,2026-05-30T21:00:00,180,Friend's House,25,FIXED_EVENT,Personal,Celebration
Workshop,2026-05-31T10:00:00,2026-05-31T13:00:00,180,Campus,15,FIXED_EVENT,School,Skill building workshop
Brunch Meetup,2026-05-31T11:00:00,2026-05-31T12:30:00,90,Cafe,10,FIXED_EVENT,Personal,Weekend brunch
Client Call,2026-06-01T10:00:00,2026-06-01T11:00:00,60,Office,0,FIXED_EVENT,Work,Discuss requirements
Therapy Session,2026-06-01T17:00:00,2026-06-01T18:00:00,60,Clinic,20,FIXED_EVENT,Health,Weekly session
Coding Session,2026-06-02T19:00:00,2026-06-02T21:00:00,120,Home,0,FIXED_EVENT,School,Work on project
Team Lunch,2026-06-02T12:30:00,2026-06-02T13:30:00,60,Restaurant,10,FIXED_EVENT,Work,Team bonding
Evening Walk,2026-06-03T19:00:00,2026-06-03T19:45:00,45,Neighborhood,0,FIXED_EVENT,Health,Relaxing walk
Networking Event,2026-06-03T17:00:00,2026-06-03T19:00:00,120,Conference Hall,20,FIXED_EVENT,Work,Meet professionals
Game Night,2026-06-04T20:00:00,2026-06-04T23:00:00,180,Home,0,FIXED_EVENT,Personal,Board games with friends
Morning Run,2026-06-05T07:30:00,2026-06-05T08:15:00,45,Park,5,FIXED_EVENT,Health,Light cardio
Team Meeting,2026-06-05T10:00:00,2026-06-05T11:00:00,60,Office,10,FIXED_EVENT,Work,Weekly planning
Lunch with Friend,2026-06-05T12:30:00,2026-06-05T13:30:00,60,Cafe,10,FIXED_EVENT,Personal,Catch up
Study Session,2026-06-05T15:00:00,2026-06-05T17:00:00,120,Library,10,FIXED_EVENT,School,Exam prep
Dinner Prep,2026-06-05T18:00:00,2026-06-05T19:00:00,60,Home,0,FIXED_EVENT,Personal,Cook dinner
Yoga Class,2026-06-06T09:00:00,2026-06-06T10:00:00,60,Gym,10,FIXED_EVENT,Health,Morning yoga
Farmer's Market,2026-06-06T11:00:00,2026-06-06T12:30:00,90,Market,15,FIXED_EVENT,Personal,Buy fresh produce
Coding Workshop,2026-06-06T14:00:00,2026-06-06T17:00:00,180,Campus,15,FIXED_EVENT,School,Learn new framework
Movie Matinee,2026-06-06T18:00:00,2026-06-06T20:00:00,120,Cinema,20,FIXED_EVENT,Personal,Watch film
Grocery Run,2026-06-07T10:00:00,2026-06-07T11:00:00,60,Store,10,FIXED_EVENT,Chores,Weekly groceries
Family Visit,2026-06-07T12:00:00,2026-06-07T15:00:00,180,Home,20,FIXED_EVENT,Personal,Visit relatives
Study Group,2026-06-07T16:00:00,2026-06-07T18:00:00,120,Library,10,FIXED_EVENT,School,Group revision
Evening Jog,2026-06-07T19:00:00,2026-06-07T19:45:00,45,Park,5,FIXED_EVENT,Health,Jogging
Project Meeting,2026-06-08T09:30:00,2026-06-08T10:30:00,60,Office,10,FIXED_EVENT,Work,Discuss progress
Brunch,2026-06-08T11:30:00,2026-06-08T12:30:00,60,Cafe,10,FIXED_EVENT,Personal,Midday meal
Lab Work,2026-06-08T13:00:00,2026-06-08T16:00:00,180,Campus,15,FIXED_EVENT,School,Complete experiments
Gym Session,2026-06-08T17:30:00,2026-06-08T18:30:00,60,Gym,10,FIXED_EVENT,Health,Strength training
Dinner with Family,2026-06-08T19:30:00,2026-06-08T21:00:00,90,Home,0,FIXED_EVENT,Personal,Family time
Web Development Webinar,2026-06-09T12:00:00,2026-06-09T13:30:00,90,Online,0,FIXED_EVENT,Work,Learn new tools
Night Walk,2026-06-09T21:00:00,2026-06-09T21:30:00,30,Neighborhood,0,FIXED_EVENT,Health,Relax before bed
Morning Jog,2026-06-10T07:00:00,2026-06-10T07:45:00,45,Park,5,FIXED_EVENT,Health,Cardio run
Team Sync,2026-06-10T09:00:00,2026-06-10T10:00:00,60,Office,10,FIXED_EVENT,Work,Daily sync
Coffee Break,2026-06-10T11:00:00,2026-06-10T11:30:00,30,Cafe,5,FIXED_EVENT,Personal,Quick coffee
Client Meeting,2026-06-10T14:00:00,2026-06-10T15:00:00,60,Office,10,FIXED_EVENT,Work,Project discussion
Dinner,2026-06-10T19:00:00,2026-06-10T20:00:00,60,Home,0,FIXED_EVENT,Personal,Evening meal
Yoga,2026-06-11T08:00:00,2026-06-11T09:00:00,60,Gym,10,FIXED_EVENT,Health,Stretch session
Workshop,2026-06-11T10:00:00,2026-06-11T12:00:00,120,Campus,15,FIXED_EVENT,School,Skill training
Lunch,2026-06-11T12:30:00,2026-06-11T13:30:00,60,Cafe,5,FIXED_EVENT,Personal,Lunch break
Study Time,2026-06-11T15:00:00,2026-06-11T17:00:00,120,Library,10,FIXED_EVENT,School,Review material
Evening Walk,2026-06-11T19:30:00,2026-06-11T20:00:00,30,Neighborhood,0,FIXED_EVENT,Health,Relax walk
Gym Session,2026-06-12T07:30:00,2026-06-12T08:30:00,60,Gym,10,FIXED_EVENT,Health,Workout
Standup Meeting,2026-06-12T09:00:00,2026-06-12T09:30:00,30,Office,10,FIXED_EVENT,Work,Daily update
Project Work,2026-06-12T11:00:00,2026-06-12T13:00:00,120,Office,0,FIXED_EVENT,Work,Focus session
Lunch Break,2026-06-12T13:00:00,2026-06-12T14:00:00,60,Cafe,5,FIXED_EVENT,Personal,Meal time
Doctor Visit,2026-06-12T16:00:00,2026-06-12T17:00:00,60,Clinic,20,FIXED_EVENT,Health,Consultation
Dinner Out,2026-06-12T19:00:00,2026-06-12T21:00:00,120,Restaurant,20,FIXED_EVENT,Personal,Dinner with friends
Morning Run,2026-06-13T08:00:00,2026-06-13T08:45:00,45,Park,5,FIXED_EVENT,Health,Run session
Brunch,2026-06-13T10:00:00,2026-06-13T11:30:00,90,Cafe,10,FIXED_EVENT,Personal,Weekend brunch
Study Group,2026-06-13T12:00:00,2026-06-13T14:00:00,120,Library,10,FIXED_EVENT,School,Group study
Movie Night,2026-06-13T20:00:00,2026-06-13T22:00:00,120,Home,0,FIXED_EVENT,Personal,Watch movie
Team Meeting,2026-06-14T09:00:00,2026-06-14T10:00:00,60,Office,10,FIXED_EVENT,Work,Weekly meeting
Coding Time,2026-06-14T11:00:00,2026-06-14T13:00:00,120,Home,0,FIXED_EVENT,School,Work on project
Lunch,2026-06-14T13:00:00,2026-06-14T14:00:00,60,Cafe,5,FIXED_EVENT,Personal,Lunch
Gym,2026-06-14T17:00:00,2026-06-14T18:00:00,60,Gym,10,FIXED_EVENT,Health,Workout
Dinner,2026-06-14T19:00:00,2026-06-14T20:00:00,60,Home,0,FIXED_EVENT,Personal,Dinner
Morning Walk,2026-06-15T07:30:00,2026-06-15T08:00:00,30,Neighborhood,0,FIXED_EVENT,Health,Walk
Office Work,2026-06-15T09:00:00,2026-06-15T12:00:00,180,Office,10,FIXED_EVENT,Work,Focus work
Lunch Break,2026-06-15T12:00:00,2026-06-15T13:00:00,60,Cafe,5,FIXED_EVENT,Personal,Lunch
Class Lecture,2026-06-15T14:00:00,2026-06-15T15:30:00,90,Campus,15,FIXED_EVENT,School,Attend lecture
Evening Jog,2026-06-15T19:00:00,2026-06-15T19:45:00,45,Park,5,FIXED_EVENT,Health,Jogging
Workout,2026-06-16T07:00:00,2026-06-16T08:00:00,60,Gym,10,FIXED_EVENT,Health,Fitness
Standup,2026-06-16T09:00:00,2026-06-16T09:30:00,30,Office,10,FIXED_EVENT,Work,Daily standup
Deep Work,2026-06-16T10:00:00,2026-06-16T12:00:00,120,Office,0,FIXED_EVENT,Work,Focus tasks
Lunch,2026-06-16T12:30:00,2026-06-16T13:30:00,60,Cafe,5,FIXED_EVENT,Personal,Meal
Study Time,2026-06-16T15:00:00,2026-06-16T17:00:00,120,Library,10,FIXED_EVENT,School,Study
Dinner,2026-06-16T19:00:00,2026-06-16T20:00:00,60,Home,0,FIXED_EVENT,Personal,Dinner
Yoga,2026-06-17T08:00:00,2026-06-17T09:00:00,60,Gym,10,FIXED_EVENT,Health,Yoga session
Meeting,2026-06-17T09:30:00,2026-06-17T10:30:00,60,Office,10,FIXED_EVENT,Work,Discussion
Lunch,2026-06-17T12:00:00,2026-06-17T13:00:00,60,Cafe,5,FIXED_EVENT,Personal,Lunch
Project Session,2026-06-17T14:00:00,2026-06-17T16:00:00,120,Office,0,FIXED_EVENT,Work,Project work
Evening Walk,2026-06-17T19:00:00,2026-06-17T19:30:00,30,Neighborhood,0,FIXED_EVENT,Health,Walk
Morning Run,2026-04-26T07:00:00,2026-04-26T07:45:00,45,Park,5,FIXED_EVENT,Health,Start the day with a run
Breakfast Meetup,2026-04-26T09:00:00,2026-04-26T10:00:00,60,Cafe,10,FIXED_EVENT,Personal,Meet a friend
Study Session,2026-04-26T11:00:00,2026-04-26T13:00:00,120,Library,10,FIXED_EVENT,School,Prepare for exams
Lunch,2026-04-26T13:00:00,2026-04-26T14:00:00,60,Cafe,5,FIXED_EVENT,Personal,Meal break
Gym,2026-04-26T17:00:00,2026-04-26T18:00:00,60,Gym,10,FIXED_EVENT,Health,Workout
Dinner,2026-04-26T19:00:00,2026-04-26T20:00:00,60,Home,0,FIXED_EVENT,Personal,Evening meal

Morning Walk,2026-04-27T07:30:00,2026-04-27T08:00:00,30,Neighborhood,0,FIXED_EVENT,Health,Light walk
Work Session,2026-04-27T09:00:00,2026-04-27T12:00:00,180,Office,10,FIXED_EVENT,Work,Focus work
Lunch Break,2026-04-27T12:30:00,2026-04-27T13:30:00,60,Cafe,5,FIXED_EVENT,Personal,Lunch
Class Lecture,2026-04-27T14:00:00,2026-04-27T15:30:00,90,Campus,15,FIXED_EVENT,School,Attend class
Evening Jog,2026-04-27T19:00:00,2026-04-27T19:45:00,45,Park,5,FIXED_EVENT,Health,Jogging

Workout,2026-04-28T07:00:00,2026-04-28T08:00:00,60,Gym,10,FIXED_EVENT,Health,Strength training
Meeting,2026-04-28T09:00:00,2026-04-28T10:00:00,60,Office,10,FIXED_EVENT,Work,Team meeting
Deep Work,2026-04-28T10:30:00,2026-04-28T12:30:00,120,Office,0,FIXED_EVENT,Work,Focus time
Lunch,2026-04-28T12:30:00,2026-04-28T13:30:00,60,Cafe,5,FIXED_EVENT,Personal,Lunch
Study Group,2026-04-28T15:00:00,2026-04-28T17:00:00,120,Library,10,FIXED_EVENT,School,Group study
Dinner Out,2026-04-28T19:00:00,2026-04-28T21:00:00,120,Restaurant,20,FIXED_EVENT,Personal,Dinner out

Morning Run,2026-04-29T07:00:00,2026-04-29T07:45:00,45,Park,5,FIXED_EVENT,Health,Run
Standup,2026-04-29T09:00:00,2026-04-29T09:30:00,30,Office,10,FIXED_EVENT,Work,Daily standup
Project Work,2026-04-29T10:00:00,2026-04-29T12:00:00,120,Office,0,FIXED_EVENT,Work,Work on tasks
Lunch Break,2026-04-29T12:30:00,2026-04-29T13:30:00,60,Cafe,5,FIXED_EVENT,Personal,Lunch
Lab Session,2026-04-29T14:00:00,2026-04-29T16:00:00,120,Campus,15,FIXED_EVENT,School,Lab work
Evening Walk,2026-04-29T19:30:00,2026-04-29T20:00:00,30,Neighborhood,0,FIXED_EVENT,Health,Walk

Gym,2026-04-30T07:30:00,2026-04-30T08:30:00,60,Gym,10,FIXED_EVENT,Health,Workout
Team Meeting,2026-04-30T09:00:00,2026-04-30T10:00:00,60,Office,10,FIXED_EVENT,Work,Weekly meeting
Work Block,2026-04-30T10:30:00,2026-04-30T12:30:00,120,Office,0,FIXED_EVENT,Work,Focused work
Lunch,2026-04-30T12:30:00,2026-04-30T13:30:00,60,Cafe,5,FIXED_EVENT,Personal,Lunch
Lecture,2026-04-30T14:00:00,2026-04-30T15:30:00,90,Campus,15,FIXED_EVENT,School,Attend lecture
Dinner,2026-04-30T19:00:00,2026-04-30T20:00:00,60,Home,0,FIXED_EVENT,Personal,Dinner

Morning Walk,2026-05-01T07:30:00,2026-05-01T08:00:00,30,Neighborhood,0,FIXED_EVENT,Health,Walk
Office Work,2026-05-01T09:00:00,2026-05-01T12:00:00,180,Office,10,FIXED_EVENT,Work,Work tasks
Lunch Break,2026-05-01T12:00:00,2026-05-01T13:00:00,60,Cafe,5,FIXED_EVENT,Personal,Lunch
Study Time,2026-05-01T14:00:00,2026-05-01T16:00:00,120,Library,10,FIXED_EVENT,School,Study
Dinner Out,2026-05-01T19:00:00,2026-05-01T21:00:00,120,Restaurant,20,FIXED_EVENT,Personal,Dinner
